iata,name,lat,lon,country,continent,region
EHM,Cape Newenham LRRS Airport,58.6464,-162.063,US,NA,OTHER
EHU,Ezhou Huahu International Airport,30.3412,115.0393,CN,AS,OTHER
EIB,Eisenach-Kindel Airport,50.9916,10.4797,DE,EU,EU
EIE,Yeniseysk Airport,58.4742,92.1125,RU,AS,OTHER
EIK,Yeysk Airport,46.68,38.21,RU,EU,OTHER
EIL,Eielson Air Force Base,64.6657,-147.102,US,NA,OTHER
EIN,Eindhoven Airport,51.4501,5.3745,NL,EU,EU
EIS,Terrance B. Lettsome International Airport,18.4455,-64.5417,VG,NA,OTHER
EJA,Yariguíes Airport,7.0243,-73.8068,CO,SA,OTHER
EJH,Al Wajh Domestic Airport,26.1986,36.4764,SA,AS,OTHER
EKA,Murray Field,40.8034,-124.113,US,NA,OTHER
EKB,Ekibastuz Airport,51.591,75.215,KZ,AS,OTHER
EKN,Elkins-Randolph County Regional Airport,38.8898,-79.8577,US,NA,OTHER
EKO,Elko Regional Airport,40.8249,-115.792,US,NA,OTHER
EKT,Eskilstuna Airport,59.3511,16.7084,SE,EU,EU
ELB,Las Flores Airport,9.0455,-73.9749,CO,SA,OTHER
ELC,Elcho Island Airport,-12.0194,135.571,AU,OC,OTHER
ELD,South Arkansas Regional Airport at Goodwin Field,33.221,-92.8133,US,NA,OTHER
ELF,El Fasher Airport,13.6149,25.3246,SD,AF,OTHER
ELG,El Golea Airport,30.5807,2.8616,DZ,AF,OTHER
ELH,North Eleuthera Airport,25.4758,-76.6808,BS,NA,OTHER
ELM,Elmira Corning Regional Airport,42.1599,-76.8916,US,NA,OTHER
ELP,El Paso International Airport,31.8099,-106.3756,US,NA,OTHER
ELQ,Prince Naif bin Abdulaziz International Airport,26.3028,43.7744,SA,AS,OTHER
ELS,King Phalo Airport,-33.0356,27.8259,ZA,AF,OTHER
ELU,Guemar Airport - مطار قمار بالوادي,33.5114,6.7768,DZ,AF,OTHER
ELY,Ely Airport Yelland Field,39.2997,-114.842,US,NA,OTHER
EMA,East Midlands Airport,52.8311,-1.3281,GB,EU,EU
EMD,Emerald Airport,-23.5675,148.179,AU,OC,OTHER
EMK,Emmonak Airport,62.7861,-164.491,US,NA,OTHER
EML,Emmen Air Base,47.0924,8.3052,CH,EU,OTHER
ENA,Kenai Municipal Airport,60.5709,-151.2452,US,NA,OTHER
ENC,Nancy-Essey Airport,48.6921,6.2305,FR,EU,EU
END,Vance Air Force Base,36.3392,-97.9165,US,NA,OTHER
ENF,Enontekio Airport,68.3626,23.4243,FI,EU,EU
ENH,Enshi Xujiaping Airport,30.3203,109.485,CN,AS,OTHER
ENK,Enniskillen/St Angelo Airport,54.3983,-7.6512,GB,EU,EU
ENN,Nenana Municipal Airport,64.5488,-149.0745,US,NA,OTHER
ENO,Teniente Ramon A. Ayub Gonzalez International Airport,-27.2275,-55.8376,PY,SA,OTHER
ENS,Twente Airport,52.2758,6.8892,NL,EU,EU
ENU,Akanu Ibiam International Airport,6.4737,7.5605,NG,AF,OTHER
ENV,Wendover Airport,40.7187,-114.031,US,NA,OTHER
ENW,Kenosha Regional Airport,42.5957,-87.9278,US,NA,OTHER
ENY,Yan'an Nanniwan Airport,36.4794,109.4641,CN,AS,OTHER
EOH,Enrique Olaya Herrera Airport,6.2197,-75.5906,CO,SA,OTHER
EOI,Eday Airport,59.1906,-2.7722,GB,EU,EU
EOR,El Dorado Airport,6.7157,-61.6388,VE,SA,OTHER
EOZ,Elorza Airport,7.0597,-69.4967,VE,SA,OTHER
EPA,El Palomar Airport,-34.6099,-58.6126,AR,SA,OTHER
EPL,Épinal Mirecourt Airport,48.325,6.07,FR,EU,EU
EPR,Esperance Airport,-33.6844,121.823,AU,OC,OTHER
EPU,Pärnu Airport,58.419,24.4728,EE,EU,EU
EQS,Esquel Brigadier Antonio Parodi International Airport,-42.908,-71.1395,AR,SA,OTHER
ERC,Erzincan Airport,39.7102,39.527,TR,AS,OTHER
ERD,Berdyansk Airport,46.815,36.7581,UA,EU,OTHER
ERF,Erfurt-Weimar Airport,50.9783,10.9607,DE,EU,EU
ERH,Moulay Ali Cherif Airport,31.9475,-4.3983,MA,AF,OTHER
ERI,Erie International Tom Ridge Field,42.0831,-80.1739,US,NA,OTHER
ERL,Erenhot Saiwusu International Airport,43.4241,112.0911,CN,AS,OTHER
ERS,Eros Airport,-22.6049,17.079,NA,AF,OTHER
ERZ,Erzurum International Airport,39.9565,41.1702,TR,AS,OTHER
ESB,Esenboğa International Airport,40.1281,32.9951,TR,AS,OTHER
ESC,Delta County Airport,45.7232,-87.0886,US,NA,OTHER
ESD,Orcas Island Airport,48.7082,-122.91,US,NA,OTHER
ESE,Ensenada International Airport / El Ciprés Air Base,31.7945,-116.6024,MX,NA,OTHER
ESF,Esler Army Airfield / Esler Regional Airport,31.3943,-92.2941,US,NA,OTHER
ESG,Dr. Luis María Argaña International Airport,-22.0465,-60.6217,PY,SA,OTHER
ESH,Brighton City Airport,50.8356,-0.2972,GB,EU,EU
ESK,Eskişehir Air Base,39.7841,30.5821,TR,AS,OTHER
ESL,Elista Airport,46.3739,44.3309,RU,EU,OTHER
ESM,Carlos Concha Torres International Airport,0.9785,-79.6266,EC,SA,OTHER
ESR,Ricardo García Posada Airport,-26.3111,-69.7652,CL,SA,OTHER
ESU,Essaouira-Mogador Airport,31.3975,-9.6817,MA,AF,OTHER
ETM,Ramon International Airport,29.727,35.0141,IL,AS,OTHER
ETR,Santa Rosa - Artillery Colonel Victor Larrea International Airport,-3.442,-79.997,EC,SA,OTHER
ETZ,Metz-Nancy-Lorraine Airport,48.9821,6.2513,FR,EU,EU
EUG,Eugene Airport,44.1246,-123.212,US,NA,OTHER
EUN,Laayoune Hassan I International Airport,27.1425,-13.2249,EH,AF,OTHER
EUQ,Evelio Javier Airport,10.7666,121.9325,PH,AS,OTHER
EUX,F. D. Roosevelt Airport,17.4965,-62.9794,BQ,NA,OTHER
EVE,Harstad/Narvik Airport,68.4913,16.6781,NO,EU,EU
EVN,Zvartnots International Airport,40.1489,44.3979,AM,AS,OTHER
EVV,Evansville Regional Airport,38.037,-87.5324,US,NA,OTHER
EVW,Evanston-Uinta County Airport-Burns Field,41.2748,-111.035,US,NA,OTHER
EVX,Évreux-Fauville (BA 105) Air Base,49.0287,1.2199,FR,EU,EU
EWB,New Bedford Regional Airport,41.6761,-70.9569,US,NA,OTHER
EWN,Coastal Carolina Regional Airport,35.073,-77.0429,US,NA,OTHER
EWR,Newark Liberty International Airport,40.6894,-74.1705,US,NA,OTHER
EXT,Exeter International Airport,50.7343,-3.414,GB,EU,EU
EYK,Beloyarskiy Airport,63.6869,66.6986,RU,EU,OTHER
EYP,El Alcaravan - Yopal Airport,5.3191,-72.384,CO,SA,OTHER
EYW,Key West International Airport,24.5561,-81.7596,US,NA,OTHER
EZE,Ezeiza International Airport - Ministro Pistarini,-34.8222,-58.5358,AR,SA,OTHER
EZS,Elazığ Airport,38.598,39.2835,TR,AS,OTHER
EZV,Berezovo Airport,63.921,65.0305,RU,AS,OTHER
FAB,Farnborough Airport,51.2758,-0.7763,GB,EU,EU
FAE,Vágar Airport,62.0633,-7.2758,FO,EU,OTHER
FAF,Felker Army Air Field,37.1325,-76.6088,US,NA,OTHER
